origin,destination,od,distance
1,12,"(1,12)",69
2,12,"(2,12)",196
3,12,"(3,12)",116
4,12,"(4,12)",217
5,12,"(5,12)",123
6,12,"(6,12)",214
7,12,"(7,12)",122
8,12,"(8,12)",233
9,12,"(9,12)",225
10,12,"(10,12)",196
11,12,"(11,12)",45
12,12,"(12,12)",5000
13,12,"(13,12)",236
14,12,"(14,12)",107
15,12,"(15,12)",56
1,13,"(1,13)",227
2,13,"(2,13)",45
3,13,"(3,13)",157
4,13,"(4,13)",25
5,13,"(5,13)",243
6,13,"(6,13)",29
7,13,"(7,13)",336
8,13,"(8,13)",12
9,13,"(9,13)",17
10,13,"(10,13)",346
11,13,"(11,13)",218
12,13,"(12,13)",236
13,13,"(13,13)",5000
14,13,"(14,13)",204
15,13,"(15,13)",236
1,14,"(1,14)",167
2,14,"(2,14)",200
3,14,"(3,14)",55
4,14,"(4,14)",178
5,14,"(5,14)",222
6,14,"(6,14)",186
7,14,"(7,14)",206
8,14,"(8,14)",193
9,14,"(9,14)",191
10,14,"(10,14)",276
11,14,"(11,14)",144
12,14,"(12,14)",107
13,14,"(13,14)",204
14,14,"(14,14)",5000
15,14,"(15,14)",154
1,15,"(1,15)",13
2,15,"(2,15)",194
3,15,"(3,15)",165
4,15,"(4,15)",215
5,15,"(5,15)",68
6,15,"(6,15)",213
7,15,"(7,15)",115
8,15,"(8,15)",232
9,15,"(9,15)",223
10,15,"(10,15)",141
11,15,"(11,15)",22
12,15,"(12,15)",56
13,15,"(13,15)",236
14,15,"(14,15)",154
15,15,"(15,15)",5000
